id;question_id;question;a;b;c;d;correct;image;image_fallback;category_id
;103;103. W wyniku wykonania przedstawionego kodu w konsoli wyświetlona zostanie liczba;108;115;73;0;B;images/104.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/104.jpg;305
;104;104. Klasa w programowaniu obiektowym to;zmienna;wskaźnik;instrukcja;typ danych;D;;;304
;105;"105. Przedstawiony kod funkcji ""wykonaj()"" sprawdza, czy";wszystkie elementy tablicy są równe wartości określonego elementu (argument);określony element (argument) znajduje się w tablicy zawierającej liczby całkowite;w tablicy liczb całkowitych znajdują się tylko wartości 4, 15, -2, 9, 202;określony element (argument) jest wartością z zakresu od 0 do 4;B;images/106.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/106.jpg;305
;106;106. Poprawna definicja konstruktora przedstawionej klasy w języku C++ może wyglądać jak w;Deklaracji 1;Deklaracji 2;Deklaracji 3;Deklaracji 4;A;images/107.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/107.jpg;305
;107;107. Wywołanie funkcji zamien napisanej w języku C++ może wyglądać następująco;"zamien(12, 34);";"zamien(*a, *b); //a,b - zmienne typu całkowitego";"zamien(&a, &b); //x,y - zmienne typu całkowitego";"zamien(m,n); //m,n - zmienne typu całkowitego";C;images/108.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/108.jpg;305
;108;108. W programie napisanym w języku C++ należy utworzyć zmienną, która przechowa liczbę rzeczywistą. Określ typ tej zmiennej;int;double;number;numeric;B;;;302
;109;109. Przedstawiony fragment opisuje funkcję resize języka C++. Funkcja ta zmniejszy długość elementu string, gdy wartość parametru;c jest mniejsza niż bieżąca długość łańcucha;n jest mniejsza niż bieżąca długość łańcucha;n jest większa niż bieżąca długość łańcucha;c jest większa niż bieżąca długość łańcucha;B;images/110.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/110.jpg;301
;110;110. Co stanie się po wykonaniu przedstawionego fragmentu kodu napisanego w języku C++?;do tablicy liczby, na jej początku, dodawane są kolejne wartości;z tablicy liczby usuwane są elementy, za każdym obiegiem pętli usuwany jest element z jej końca;z tablicy liczby usuwane są elementy, za każdym obiegiem pętli usuwany jest element z jej początku;do tablicy liczby, na jej końcu, dodawane są kolejne wartości;D;images/111.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/111.jpg;305
;111;111. Na rysunku przedstawiony jest fragment schematu blokowego pewnego algorytmu. Ile razy zostanie sprawdzony warunek n<7?;8;5;7;6;D;images/112.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/112.jpg;304
;112;112. Które narzędzie programistyczne służy do tłumaczenia kodu źródłowego do postaci zrozumiałej dla komputera, sprawdza wszystkie instrukcje kodu, czy nie występują w nich błędy, a następnie tworzy wykonywalny moduł?;interpreter;kompilator;debugger;dekompilator;B;;;305
;113;113. Przedstawiona dokumentacja opisuje algorytm sortowania;szybkiego (Quicksort);przez wybór;przez wstawianie;bąbelkowe;D;images/114.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/114.jpg;304
;114;114. Pracując w grupie i dbając o jej poprawne funkcjonowanie, nie należy;wzajemnie się motywować;rzetelnie i na czas wywiązywać się ze swoich zobowiązań;dbać wyłącznie o własny interes;brać odpowiedzialność za podejmowane działania;C;;;305
;115;115. Który blok kodu zawiera przykład użycia rekurencji?;Blok 1;Blok 3;Blok 4;Blok 2;A;images/116.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/116.jpg;305
;116;116. Programy działające w systemach Android wykorzystują do interakcji z użytkownikiem klasę;Activity;Screens;Fragments;Windows;A;;;305
;117;117. W wyniku wykonania przedstawionego kodu napisanego w języku C++ w konsoli zostanie wyświetlony ciąg liczb;1 2 3 4 5 6;2 3 4 5 6 7;1 2 3 4 5;2 3 4 5 6;D;images/118.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/118.jpg;305
;118;118. Do form przekazu werbalnego należy;mówienie;wyraz twarzy;pozycja ciała;gestykulacja;A;;;305
;119;119. Przy pomocy którego obiektu można utworzyć kontrolkę wskazaną strzałką na obrazie?;"Windows - dla biblioteki WPF; JFrame - dla biblioteki Swing";"Text - dla biblioteki WPF; JText - dla biblioteki Swing";"Box - dla biblioteki WPF; JField - dla biblioteki Swing";"TextBox - dla biblioteki WPF; JTextField - dla biblioteki Swing";D;images/120.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/120.jpg;304
;120;120. Co zostanie wyświetlone po wykonaniu przedstawionego kodu zapisanego w języku C++?;Pochodna. Pochodna.;Bazowa. Pochodna.;Pochodna. Bazowa.;Bazowa. Bazowa.;A;images/121.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/121.jpg;305
;121;121. W przedstawionym kodzie zostało zaprezentowane jedno z podstawowych założeń programowania obiektowego. Jest to;polimorfizm;abstrakcja;dziedziczenie;hermetyzacja;C;images/122.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/122.jpg;304
;122;122. Framework Angular został napisany w języku;Postscript;PHP;Typescript;C#;C;;;305
;123;123. Jedną z możliwości testów funkcjonalnych wykonywanych na aplikacji webowej jest sprawdzenie;bezpieczeństwa aplikacji;stopnia optymalizacji kodu aplikacji;wydajności aplikacji;poprawności wyświetlanych elementów aplikacji;D;;;305
;124;124. Wyróżnione elementy w przedstawionych ramkach mają za zadanie;pobranie nazwy obiektu reprezentującego okno aplikacji;ustawienie nazwy obiektu reprezentującego okno aplikacji;"ustawienie tytułu okna na ""Tekst""";zapisanie tytułu okna do obiektu Tekst;C;images/125.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/125.jpg;305
;125;125. Jaki będzie efekt działania przedstawionych dwóch równoważnych funkcjonalnie fragmentów kodu źródłowego?;"wyświetlony na stronie tekst w akapicie: ""Egzamin zawodowy""";"wyświetlony na stronie tekst w nagłówku: ""Egzamin zawodowy""";"nadany tytuł każdego elementu HTML: ""Egzamin zawodowy""";"nadany tytuł strony: ""Egzamin zawodowy""";B;images/126.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/126.jpg;305
;126;126. Jaki kwalifikator należy nadać metodzie, aby dostęp do niej był możliwy tylko z ciała tej klasy i klas potomnych,a jednocześnie, żeby ta metoda nie była dostępna w dowolnej funkcji?;public;private;reinterpret_cast;protected;D;;;304
;127;127. Co zostanie zapisane w etykiecie label po wykonaniu przedstawionego kodu, uruchomionego po kliknięciu w przycisk okna aplikacji?;suma liczb parzystych z przedziału od 0 do 100;liczby parzyste z przedziału od 0 do 100;suma liczb z przedziału od 0 do 100;liczby z przedziału od 0 do 100;A;images/128.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/128.jpg;305
;128;128. Szkodliwe oprogramowanie, zaprojektowane w celu zapewnienia hakerom uprawnień administracyjnych do komputera ofiary bez jej wiedzy, to;wirus;keylogger;robak;rootkit;D;;;305
;129;129. Po wykonaniu przedstawionego kodu zapisanego w języku C++ na ekranie konsoli zostanie wyświetlony tekst:;"""%s dodawania: %d + %.2f=%f"", ""Wynik"", a, b, w";dodawania: 5+5.12345=10.123450 Wynik;Wynik dodawania: 5+5.12=10.123450;"""%s dodawania: %d + %.2f = %f"", ""Wynik"", 5, 5.12345, 10.123450";C;images/130.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/130.jpg;305
;130;130. Jaki ciąg tekstowy zostanie wyświetlony po wykonaniu jednego z przedstawionych kodów?;{{2+2}};{2+2};4;{4};C;images/131.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/131.jpg;305
;131;131. W języku Java wyjątek ArrayIndexOutOfBoundsException może pojawić się w sytuacji odwołania się do elementu tablicy, którego;wartość jest większa niż rozmiar tablicy;indeks jest równy lub większy od rozmiaru tablicy;indeks jest z przedziału od 0 do n-1, gdzie n jest rozmiarem tablicy;wartość jest większa niż jego indeks;B;;;305
;132;132. Resuscytacja krążeniowo-oddechowa polega na wykonywaniu;10 uciśnięć klatki piersiowej i 5 oddechów ratowniczych;15 uciśnięć klatki piersiowej i 3 oddechów ratowniczych;30 uciśnięć klatki piersiowej i 2 oddechów ratowniczych;20 uciśnięć klatki piersiowej i 1 oddechu ratowniczego;C;;;302
;133;133. Przedstawiony na filmie kod napisany w języku C++ nie kompiluje się. Co należy zmienić w tym kodzie, aby proces kompilacji wykonał się bez błędów?;dodać deklarację funkcji sprawdz przed funkcją main;zapisać poprawnie warunek w instrukcji if w linii 11, np. sprawdz(x)==true;poprawić błąd w funkcji sprawdz, polegający na braku nawiasów {} w pętli for;zadeklarować zmienną sprawdz przed jej użyciem w linii 11;A;;;305
;134;134. Która metoda biblioteki jQuery języka JavaScript odpowiada za naprzemienne dodawanie i usuwanie klasy elementu?;.toggleClass();.switchClass();.changeClass();.bingClass();A;;;301
;135;135. Framework to;platforma programistyczna dostarczająca pewne komponenty i narzucająca pewien szkielet lub metodykę tworzenia aplikacji;zbiór podprogramów, danych i złożonych typów danych wykorzystywanych w kodzie źródłowym aplikacji;oprogramowanie, które metodą drag and drop umożliwia utworzenie interfejsu aplikacji;narzędzie służące do tworzenia, modyfikowania, testowania i uruchamiania oprogramowania;A;;;305
;136;136. Diagram Gantta jest stosowany w celu;obrazowania funkcjonalności systemu;szczegółowej analizy czasowo-kosztowej projektu;planowania i zarządzania projektem;wizualizacji zależności między elementami systemów;C;;;305
;137;137. Jednym z zadań widoku we wzorcu MVVM (Model_View-Viewmodel) jest;obsługa logiki aplikacji - zawiera implementację algorytmów;obsługa interakcji użytkownika, utworzenie interfejsu użytkownika;udostępnianie danych dla widoku oraz wymiana danych z modelem;przechowywanie pobranych oraz przetworzonych danych;B;;;305
;138;138. Jednostką zalecaną przy tworzeniu układu interfejsu aplikacji jest;mm;px;dp;pt;C;;;301
;139;139. Które logo przedstawia narzędzie, którego nie wykorzystuje się do tworzenia aplikacji mobilnych;4;1;3;2;D;images/140.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/140.jpg;305
;140;140. Frameworki/biblioteki typowe dla aplikacji webowych to;ASP.NET Core, jQuery, Joomla!, Wordpress, Angular;jquery, Joomla!, Wordpress, android Studio, Xamarin;ASP.NET Core, Django, Angular, React.js, Node.js;Visual Studio, Eclipse, angular, React.js, Node.js;C;;;305
;141;141. Jak zaimportować tylko komponent z biblioteki React?;import React.Component from 'react';import [ Component ] from 'react';import Component from 'react';import { Component } from 'react';D;;;305
;142;142. W wyniku wykonania przedstawionego kodu zostaną wypisane;elementy tablicy o następujących indeksach: 1, 2, 4, 5, 7, 8;elementy spod indeksów tablicy podzielnych przez 3;wszystkie elementy tablicy, które są podzielne przez 3;wszystkie nieparzyste elementy tablicy;A;images/142.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/142.jpg;305
;143;143. W firmie IT obowiązują przedstawione wytyczne dotyczące zarządzania projektami, Wynika z nich, że firma stosuje model zarządzania;prototypowy;zwinny;kaskadowy;spiralny;B;images/143.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/143.jpg;305
;144;144. Aby zastosować framework Django należy programować w języku;C#;JavaScript;Python;Java;C;;;305
;145;145. Wskaż wspólną cechę wszystkich kontrolek przedstawionych w ramce;wszystkie są widoczne;mają tło tego samego koloru;mają ten sam kolor czcionki;są w nich ustawione te same wartości domyślne;B;images/145.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/145.jpg;305
;146;146. Aby programować aplikacje desktopowe za pomocą języka Java można wybrać środowisko;NetBeans;SharpDevelop;PyCharm;Ms Visual Studio;A;;;305
;147;147. Przedstawiona pętla wykorzystuje obiekt random do;wielokrotnego losowania liczby, aby utworzyć napis składający się z liczb pseudolosowych;wypełnienia tablicy wynik liczbami pseudolosowymi;pojedynczego wylosowania znaku z podanej puli znaków;wygenerowania 8-znakowego losowego napisu składającego się z liter;C;images/147.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/147.jpg;304
;148;148. Ryzykiem zawodowym nazywa się;zagrożenie wypadkowe występujące na stanowisku pracy;skutki zagrożeń wypadkowych wystepujących na stanowisku pracy;ciężkość następstw niepożądanych zdarzeń związanych z wykonywaną pracą;prawdopodobieństwo wystąpienia niepożądanych zdarzeń związanych z wykonywaną pracą, powodujących straty, w szczególności wystąpienia u pracowników niekorzystnych skutków zdrowotnych;D;;;305
;149;149. Który system operacyjny jest natywnym systemem do tworzenia aplikacji mobilnych w języku Swift?;iOS;LG UX;Android;Windows UWP;A;;;305
;150;150. Które wyrażenie logiczne należy zastosować, aby sprawdzić czy zmienna x przechowuje wartości ujemne albo z przedziału (10, 100);x > 10 || x < 100 || x < 0;(x > 10 && x < 100) || x < 0;x > 10 || x < 100 || x < 0;(x > 10 || x < 100) && x < 0;B;;;301
;151;151. Odpowiednikami zmiennych i funkcji programowania strukturalnego są w programowaniu obiektowym;pola i metody;metody statyczne i abstrakcyjne;hermetyzacja i dziedziczenia;pola i kwalifikatory dostępu;A;;;304
;152;152. Za pomocą React.js i Angular zapisano funkcjonalnie równoważne kody źródłowe. Aby w metodzie handleSubmit można było wyświetlić zawartość kontrolki input w miejscu oznaczonym ??? należy odnieść się do atrybutu o nazwie;nazwa4;nazwa2;nazwa1;nazwa3;C;images/152.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/152.jpg;301
;153;153. Który kod jest implementacją przedstawionego fragmentu algorytmu?;Kod 1;Kod 2;Kod 3;Kod 4;C;images/153.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/153.jpg;304
;154;154. Dla podanego algorytmu złożoność obliczeniowa jest równa;O(n log n);O(n);O(1);O(n 2 );B;images/154.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/154.jpg;304
;155;155. Wskaż kod funkcjonalnie równorzędny przedstawionemu;Kod 1;Kod 2;Kod 3;Kod 4;B;images/155.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/155.jpg;305
;156;156. Środowiskiem dedykowanym do tworzenia aplikacji mobilnych dla urządzeń Apple i wykorzystującym do tego celu różne języki programowania w tym Java i Objective C jest;Android Studio;NetBeans;XCode;React Native;C;;;305
;157;157. Przedstawiony symbol ochrony przeciwpożarowej oznacza;tablicę rozdzielczą;alarm pożarowy;wyłącznik prądu;stanowisko zdalnego uwalniania;B;images/157.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/157.jpg;305
;158;158. Systemem kontroli wersji jest;Trello;Jira;Git;Bugzilla;C;;;305
;159;159. Sumą liczb binarnych 1101 i 1001 jest;1110;10111;1001;10110;D;;;305
;160;160. Wskaż cechę charakterystyczną dla metody abstrakcyjnej;jest zawsze prywatna;jest pusta w klasach potomnych;nie jest zaimplementowana w klasie bazowej;jest pusta w klasie bazowej;C;;;305
;161;161. Błędy interpretracji kodu wytworzonego za pomocą środowiska React.js lub Angular można śledzić przy pomocy;wbudowanego w środowisko debuggera;konsoli przeglądarki internetowej;narzędzi zainstalowanych po stronie serwera aplikacji;kompilatora języka JavaScript;B;;;301
;162;162. W standardzie dokumentacji testów oprogramowania IEEE 829-1998 jest opisany dokument, który zawiera informacje o tym, które przypadki testowania zostały użyte, kto je użył i czy powiodły się. Jest to;Test Plan;Test Procedure Specification;Test Log;Test Summary Report;C;;;305
;163;163. Klasie o nazwie samochod nadano cechy: marka, rocznik, parametry[]. Cechy te należy zdefiniować jako;funckje;pola;interfejsy;metody;B;;;305
;164;"164. Błąd kompilacji ""incompatible types"" może zostać wygenerowany, gdy";funkcja przyjmuje jako argument całkowitą, a wywołana została z napisem jako parametr;popełniono błąd podczas deklaracji zmiennej, zastosowano typ, który nie istnieje;zmiennej typu int została przypisana wartość 243;funkcja zwraca typ void, a podczas wywołania nie jest przypisana do żadnej zmiennej;A;;;305
;165;165. Programista aplikacji mobilnych chce przekwalifikować się na pracownika Full-Stack Developer. Wskaż kurs, który powinien wybrać, aby było to możliwe;Mastering Cross-platform Developping;Ultimate C# Serier from Beginner to Advanced;Complete JavaScript React, SQL, Node.js Cource;Raster and Vector Graphics with Adobe;C;;;305
;166;166. Oznaczeniem komentarza wieloliniowego w języku Java jest;/* ... */;<!-- ... -->;// ... //;""""""" ... """"""";A;;;305
;167;167. Wskaż numeryczne typy stałoprzecinkowe;float, double;int, short, long;bool char, string;long long, long double;B;;;305
;168;168. W którym języku programowania kod źródłowy programu, przed jego uruchomieniem, musi być skompilowany do kodu maszynowego konkretnej architektury procesora?;PHP;Perl;Java;C++;D;;;305
;169;169. Projektując aplikację zorientowaną obiektowo należy założyć, że program będzie sterowany za pomocą;modułów z zawartymi w nich funkcjami i zmiennymi globalnymi;pętli dyspozytora, która w zależności od zdarzenia wywoła odpowiednią funkcję;definicji warunków końcowego rozwiązania;zbioru instancji klas współpracujących ze sobą;D;;;304
;170;170. Które stwierdzenie dotyczące pojęcia obiekt jest prawdziwe?;obiekt jest typem złożonym;obiekt jest instancją klasy;obiekt i klasa są tożsame;obiekt umożliwia zdefiniowanie klasy;B;;;304
;171;171. Która cecha wyróżnia framework od biblioteki?;Framework determinuje architekturę aplikacji i dostarcza jej szkielet;Framework dostarcza funkcje użytkowe w danej dziedzinie problemu;Framework jest zbiorem funkcjonalności, które programista może wykorzystać;Framework dostarcza API do większego zestawu funkcji;A;;;305
;172;172. Narzędziem do monitorowania procesu wykonywania zadań przez członków zespołu projektowego może być diagram;Venna;Gantta;związków encji;aktywności UML;B;;;305
;173;173. Jedną z chorób, która występuje u programistów na skutek długotrwałej pracy z myszą komputerową lub klawiaturą, chrakteryzującą się bólami, drętwieniem i zaburzeniami czucia w obszarze 1-3 palca ręki jest;zespół cieśni kanału nadgarstka;zespół suchego oka;kifoza;dyskopatia;A;;;305
;174;174. Aby zadeklarować pole, które będzie pełniło funkcję licznika instancji klasy, należy definicję takiego pola poprzedzić słowem kluczowym;register;static;operator;virtual;B;;;303
;175;175. Jeżeli w aplikacji występuje błąd działania, a programista musi sprawdzić wartości przechowywane w zmiennych, w danym momencie uruchomienia aplikacji, to należy do tego celu wykorzystać;analizator składni;wirtualną maszynę;debugger;interpreter;C;;;302
;176;176. Która lista typów obejmuje jedynie typy złożone?;class, struct, float;char, struct, union;class, struct, union;unsigned, struct, float;C;;;305
;177;177. Liczba 1AF zapisana kodem szesnastkowym po przeliczeniu na kod dziesiętny wynosi;431;6890;26;257;A;;;305
;178;"178. Wewnątrz klasy pracownik zdefiniowano przedstawione metody. Do której z nich można zgodnie z jej przeznaczeniem dopisać element diagnostyczny o treści: cout << ""Obiekt został usunięty"";?";operator==;pracownik;~pracownik;wypisz;C;images/178.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/178.jpg;304
;179;179. Zmienna typy logicznego może przyjąć wartości:;1, -1;true, false;0 oraz dowolną całkowitą;trzy dowolne naturalne;B;;;301
;180;180. Szablon MojaTablica implementuje funkcjonalność tablicy o indeksach różnego typu i elementach różnego typu. Na podstawie przedstawionego kodu, który wykorzystuje szablon do inicjacji tablicy asocjacyjnej wskaż definicję wykorzystującą szablon do utworzenia tablicy, w której indeksami są liczby całkowite a elementy napisy;"MojaTablica tab2 = MOjaTablica ();";"int tab2[] = new MojaTablica();";"MojaTablica tab2 = new MojaTablica ();";"int tab2 = new MojaTablica ();";C;images/180.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/180.jpg;305
;181;181. Na podstawie definicji przedstawionej w ramce wskaż, który rysunek przedstawia komponent Chip zdefiniowany w bibliotece Angular Material.;Rysunek 1;Rysunek 2;Rysunek 3;Rysunek 4;D;images/181.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/181.jpg;305
;182;"182. Na przedstawionych rysunkach znajduje się okno aplikacji w stanie początkowym oraz po wypełnieniu danych. Zakładając, że pole ""Dostępne środki"" jest przeznaczone do wprowadzania wartości typu rzeczywistego, wskaż składowe struktury, które optymalnie pasują do tych danych";Kod 1;Kod 2;Kod 3;Kod 4;B;images/182.jpg;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/182.jpg;305
;183;183. W procesorze, jednostką odpowiedzialną za działania na liczbach zmiennoprzecinkowych jest;IU;FPU;ALU;AU;B;;;305
;184;184. Klasa Mieszkaniec zawiera pola: imie, nazwisko, ulica, nrDomu, rokUrodzenia. w klasie zdefiniowano przedstawione w punktach konstruktory (zapisano jedynie typy argumrntów). Do inicjowania obiektu konstruktorem kopiującym wykorzystany zostanie konstruktor przedstawiony w punkcie;1;4;3;2;D;images/184.png;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/184.png;304
;185;185. Który z warunków logicznych sprawdza, czy zmienna całkowita x jest dodatnią liczbą dwucyfrową podzielną przez 4?;(x > 9 && x < 100) && (x % 4 == 0);(x > 9 || x < 100) && (x / 4 == 0);(x > 9 && x < 100) || (x % 4 == 0);(x > 0 && x < 100) || (x / 4 == 0);A;;;301
;186;186. Stosując jeden z dwóch przedstawionych zapisów inkrementacji w językach rodziny C lub Java, można stwierdzić, że;wartość zmiennej b będzie wyższa po wykonaniu zapisu drugiego w porównaniu z pierwszym;zapis drugi jest niezgodny ze składnią, co spowoduje błędy kompilacji;niezależnie od zapisu, w zmiennej b zawsze będzie ten sam wynik;jedynie stosując zapis pierwszy, zmienna a zostanie zwiększona o 1;A;images/186.png;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/186.png;305
;187;187. Które określenie najlepiej opisuje złożoność obliczeniową algorytmy quicksort?;jest wyższa niż złożoność sortowania bąbelkowego;jest zawsze niższa niż złożoność każdego innego algorytmy sortowania;jest wyższa niż O(n2).;jest różna w zależności od wyboru elementu rozdzielającego;D;;;304
;188;188. Co zostanie wygenerowane w przeglądarce w wyniku działania kodu źródłowego zapisanego za pomocą dwóch równoważnych funkcjonalnie fragmentów?;Trzy paragrafy, każdy z kolejnym elementem tablicy tags;jeden paragraf z kolejno wszystkimi elementami tablicy tags;jeden paragraf z pierwszym elementem tablicy tags;trzy paragrafy, w każdym z nich napis o treści: {tag};A;images/188.png;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/188.png;305
;189;189. W aplikacji mobilnej, aby zdefiniować warianty grafiki w zależności od rozdzielczości ekranu, należy (uwaga: odpowiedzi wariantowe dla dwóch platform - sugerować się platformą wykorzystywaną na zajęciach);iOS: dodać do nazw przyrostki wskazujące na rozdzielczość, np.32ppi. Android: umieścić grafikę w odpowiednich folderach: 32ppi, 64ppi, 96ppi.;iOS: dodać do nazw plików przyrostki @2x, @3x. Android: umieścić grafikę w odpowiednich folderach drawable: -hdpi, -xhpi, xxhdpi.;iOS: dodać do nazw przyrostki #2x, #3x. Android: dodać do nazw przyrostek rozdzielczości: -32x32, -64x64, -96x96.;iOS: utworzyć foldery hdpi, lhpi, xhpi i dodać do nich grafiki. Android: utworzyć foldery 32x32, 64x64, 96x96 i dodać do nich grafiki.;B;;;305
;190;190. Programista projektuje obsługę bufora drukowania dokumentów. Najnowsze zadanie drukowania jest ustawiane na końcu kolejki, najstarsze jest przekazywane do wydruku. Strukturą danych najlepiej pasującą do problemu jest;Stos;Sterta;LIFO;FIFO;D;;;301
;191;191. Która z akcji powinna być zaimplementowana w części back-end aplikacji internetowej?;wypisywanie danych pobranych z formularza w przeglądarce;obsługa zdarzeń kontrolek;walidacja formularzy w czasie rzeczywistym;obsługa bazy danych;D;;;305
;192;192. Programista popełnił błąd w przedstawionym kodzie. Na czym ten błąd polega?;brak konstruktora w definicji klasy;inicjacja obiektu jest nieprawidłowo zapisana;w inicjacji obiektu powinny być przekazane argumenty konstruktora;pole autor jest niedostępne z tego poziomu;D;images/192.png;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/192.png;305
;193;193. Aby zaimplementować algorytm sortowania bąbelkowego dla tablicy n-elementowej, potrzeba;n-liczby warunków;dwóch pętli działających na co najmniej (n+1) elementach każda;jednej pętli działającej na 2n elementach i warunku;dwóch pętli działających na najwyżej n-elementach każda;D;;;304
;194;194. W przedstawionych fragmentach kodu zdefiniowano funkcję o nazwie fun1. W funkcji tej należy umieścić obsługę;wybrania przycisku zatwierdzającego dialog;aplikacji po zdarzeniu utraty focusa przez pola opcji;inicjalizacji elementów interfejsu użytkownika;usunięcia kontrolek z pamięci operacyjnej;A;images/194.png;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/194.png;305
;195;195. Przedstawiona pętla operuje na zmiennej napisowej ciąg. Jej zadaniem jest;od każdego znaku w napisie, który nie jest równy 0, odjąć kod 32;zamienić w napisie małe litery na wielkie;od każdego znaku w napisie odjąć kod 32;zamienić w napisie wielkie litery na małe;B;images/195.png;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/195.png;304
;196;196. Przedstawiony sposób deklaracji Klasa2 oznacza, że;Klasa1 dziedziczy po Klasa2;Klasa1 jest potomkiem Klasy2;Klasa2 dziedziczy po Klasa1;Klasa2 jest klasą bazową;C;images/196.png;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/196.png;304
;197;197. Testy mające na celu wykrycie błędów w interfejsach pomiędzy modułami lub systemami to testy;wydajnościowe;bezpieczeństwa;integracyjne;jednostkowe;C;;;301
;198;198. Metodyka zwinna (ang. agile) polega na;podziale przedsięwzięcia na następujące po sobie etapy: projekt, programowania, testy, wraz z ciągłym szacowaniem ryzyka przedsięwzięcia;dekompozycji przedsięwzięcia na części, które są oddzielnie projektowane, wytwarzane i testowane w krótkich cyklach;zaprojektowaniu całej aplikacji na początku trwania przedsięwzięcia i tworzeniu jej na przemian z testowaniem;opracowaniu testów dla całego przedsięwzięcia, a następnie implementowaniu kolejnych jego części;B;;;305
;199;199. Mechanizm programowania obiektowego w C++, wykorzystujący funkcje wirtualne (z ang. Virtual), który przy wywołaniu metod zwalnia programistę z obowiązku sprawdzenia jaką klasę pochodną aktualnie obsługuje, np. przez wskaźnik nosi nazwę;dziedziczenia;przeciążenia;hermetyzacji;polimorfizmu;D;;;304
;200;200. We frameworkach do tworzenia aplikacji mobilnych lub desktopowych występuje wzorzec MVVM, czyli Model-View-ViewModel. To podejście do programowania zakłada, że;interfejs użytkownika oraz logika aplikacji są kodowane w jednym pliku;kontrolki i widoki interfejsu użytkownika są zaszyte w logice aplikacji;interfejs użytkownika oraz logika aplikacji są rozdzielone;w aplikacji występuje tylko interfejs użytkownika;C;;;305
;201;201. W której sekcji obsługi wyjątków jest zaimplementowana reakcja na rzucony wyjątek?;throw;try;finally;catch;D;;;305
;202;202. Na filmie przedstawiono zakładanie projektu cross-platform. Dla których platform będzie dostępna tworzona aplikacja?;dla Android, iOS oraz Windows (UWP);dla android oraz iOS;dla iOS oraz Windows (UWP);dla Android oraz Windows (UWP);B;;;305
;203;203. Na obrazie widoczna jest aplikacja, która umozliwia;debugowanie kodu na wskazanej platformie Android;zarządzanie emulacjami systemu Android;kompilowanie kodu pod wskazaną platformę Android;zarządzanie wirtualnymi dyskami emulacji systemu android;B;images/203.png;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/203.png;305
;204;204. W oknie dialogowym aplikacji desktopowej umieszczono;trzy pola edycyjne, dwa pola opcji, jedno pole listy rozwijanej i dwa przyciski;trzy pola edycyjne, dwa pola etykiet, pole listy rozwijanej i dwa przyciski;trzy pola etykiet, dwa pola wyboru, pole opcji i dwa przyciski;cztery pola edycyjne, dwa pola opcji i dwa przyciski;A;images/204.png;https://www.praktycznyegzamin.pl/inf04/teoria/wszystko/inf04/204.png;305
