id;question_id;question;a;b;c;d;correct;image;image_fallback;category_name
;105;105. Przedstawiony fragment konfiguracji zapory sieciowej zezwala na ruch sieciowy z wykorzystaniem protokołów;FTP, SSH;POP3, TFTP;HTTP, SMPT;HTTPS, IMAP;D;images/105.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/105.jpg;inf_02
;106;106. Przedstawione na rysunku narzędzie służy do testowania;zasilacza.;płyty głównej.;karty sieciowej.;okablowania LAN.;D;images/106.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/106.jpg;inf_02
;107;107. Kopię danych w systemie Linux można wykonać za pomocą polecenia;dd;tac;split;restore;A;;;inf_02
;108;108. W systemie Linux odpowiednikiem programu Windows o nazwie chkdsk jest program;fsck;icacls;totem;synaptic;A;;;inf_02
;109;109. Za pomocą polecenia dxdiag wywołanego z wiersza poleceń systemu Windows można;sprawdzić parametry karty graficznej.;wykonać pełną diagnostykę karty sieciowej.;przeskanować dysk twardy w poszukiwaniu błędów.;zweryfikować prędkość zapisu oraz odczytu napędów DVD.;A;;;inf_02
;110;110. Które narzędzie jest stosowane do weryfikacji sterowników w systemie Windows?;sfc;debug;verifier;replace;C;;;inf_02
;111;111. Wskaż efekt działania przedstawionego polecenia.;Ustawiony czas aktywacji konta Test.;Ustawiona data wygaśnięcia konta Test.;Sprawdzona data ostatniego logowania na konto Test.;Wymuszona zmiana hasła na koncie Test w podanym terminie.;B;images/111.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/111.jpg;inf_02
;112;112. Użytkownik systemu operacyjnego Linux chce przypisać adres IP 152.168.1.200 255.255.0.0 interfejsowi sieciowemu. Które polecenie powinien wydać, mając uprawnienia root?;ip addr add 152.168.1.200/16 dev eth1;netsh interface IP 152.168.1.200/16 /add;ip addr add 152.168.1.200 255.255.0.0 dev eth1;netsh interface IP 152.168.1.200 255.255.0.0 /add;A;;;inf_02
;113;113. W wyniku użycia polecenia route ustawiono;koszt metryki na 0 przeskoków;adres docelowej sieci na 192.168.35.0;25 bitową maskę dla adresu docelowego;maskę 255.255.255.0 dla adresu IP bramy 192.168.0.2;B;images/113.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/113.jpg;inf_02
;114;114. Sprawdzenie minimalnego okresu ważności hasła w systemie Windows umożliwia polecenie;net user;net time;net group;net accounts;D;;;inf_02
;115;115. W systemie Linux polecenie chmod umożliwia;zmianę właściciela pliku.;naprawę systemu plików.;ustawienie praw dostępu do pliku.;wyświetlenie informacji o ostatniej aktualizacji pliku.;C;;;inf_02
;116;116. Aby uzupełnić prawidłową składnię prezentowanego polecenia, które udostępnia folder Dane pod nazwą test, w miejscu kropek należy wpisać słowo;use;view;share;connect;C;images/116.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/116.jpg;inf_02
;117;117. Które ze zdań jest prawdziwe dla przedstawionej konfiguracji usługi DHCP w systemie Linux?;System zamieni adres IP 192.168.221.102 na nazwę main;Komputery otrzymają adres IP z zakresu 176.16.20.251 ÷ 255.255.255.0;Karcie sieciowej komputera main przypisany zostanie adres IP 39:12:86:07:55:00;Komputery pracujące w sieci otrzymają adres IP z zakresu 176.16.20.50 ÷ 176.16.20.250;D;images/117.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/117.jpg;inf_02
;118;118. Dla danego użytkownika w systemie Linux polecenie usermod -s pozwala na;zablokowanie jego konta.;przypisanie go do nowej grupy.;zmianę jego katalogu domowego.;zmianę jego powłoki systemowej.;D;;;inf_02
;119;119. Który protokół nie funkcjonuje w warstwie aplikacji modelu ISO/OSI?;IP;FTP;DNS;HTTP;A;;;inf_02
;120;120. Protokół umożliwiający hostom uzyskanie od serwera danych konfiguracyjnych, np. adresu IP bramy sieciowej, to;RTP;NFS;DHCP;HTTPS;C;;;inf_02
;121;121. W układzie SI jednostką miary napięcia jest;wat.;herc.;wolt.;amper.;C;;;inf_02
;122;122. Wskaż rysunek przedstawiający kondensator stały;A;B;C;D;D;images/122.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/122.jpg;inf_02
;123;123. Na rysunku został przedstawiony schemat budowy logicznej;procesora.;klawiatury.;karty graficznej.;myszy komputerowej.;A;images/123.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/123.jpg;inf_02
;124;124. Oznaczenie przedstawionego procesora informuje o;jego małej obudowie.;wersji mobilnej procesora.;braku blokady mnożnika (unlocked).;bardzo niskim zużyciu energii przez procesor.;C;images/124.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/124.jpg;inf_02
;125;125. Wskaż podzespół niekompatybilny z płytą główną o przedstawionych w tabeli parametrach.;Monitor: Dell, 34”, 1x DisplayPort, 1x miniDP, 2x USB 3.0 Upstream, 4x USB 3.0 Downstream;Karta graficzna: Gigabyte GeForce GTX 1050 OC, 2GB, GDDR5, 128 bit, PCI-Express 3.0 x16;Procesor: INTEL CORE i3-4350, 3.60 GHz, x2/4, 4 MB, 54W, HD 4600, BOX, s-1150;Pamięć RAM: Corsair Vengeance LPX, DDR4, 2x16GB, 3000MHz, CL15 Black;C;images/125.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/125.jpg;inf_02
;126;126. W zestawie komputerowym o parametrach przedstawionych w tabeli należy wymienić kartę graficzną na kartę GeForce GTX 1070 Ti Titanium 8G DDR5, PCI EX-x16 3.0, 256b, 1683 MHz/1607 MHz, Power consumption 180W, 3x DP, 2x HDMI, recommended power supply 500W, DirectX 12, OpenGL 4.5 W związku z tym modernizacja tego komputera wymaga również wymiany;karty sieciowej.;płyty głównej.;procesora.;zasilacza.;D;images/126.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/126.jpg;inf_02
;127;127. Do aktualizacji systemów Linux można wykorzystać programy;cron i mount;defrag i YaST;apt-get i zypper;aptitude i amarok;C;;;inf_02
;128;128. Autor zamieszczonego oprogramowania zezwala na jego bezpłatne używanie jedynie w przypadku;zaakceptowania ograniczenia czasowego podczas instalacji.;uiszczenia dobrowolnej opłaty na cele charytatywne.;wysłania tradycyjnej kartki pocztowej do autora.;przesłania przelewu z kwotą 1$ na konto autora.;C;images/128.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/128.jpg;inf_02
;129;129. W dwóch przyległych pomieszczeniach pewnej firmy występują bardzo silne zakłócenia elektromagnetyczne. Aby zapewnić możliwie największą przepustowość podczas pracy istniejącej sieci LAN, jako medium transmisyjne należy zastosować;kabel telefoniczny.;kabel światłowodowy.;skrętkę nieekranowaną.;fale elektromagnetyczne w zakresie podczerwieni.;B;;;inf_02
;130;130. Narzędziem służącym do połączenia pigtaila z włóknami kabla światłowodowego jest;przedłużacz kategorii 5e z zestawem pasywnych kabli o prędkości połączenia 100 Mb/s.;narzędzie zaciskowe do wtyków RJ45, wyposażone w odpowiednie dla kabla gniazdo.;spawarka światłowodowa, spajająca włókna za pomocą łuku elektrycznego.;stacja lutownicza, wykorzystująca mikroprocesor do regulacji temperatury.;C;;;inf_02
;131;131. Aby zabezpieczyć sieć bezprzewodową przed nieautoryzowanym dostępem, należy między innymi;wyłączyć szyfrowanie danych.;włączyć filtrowanie adresów MAC.;korzystać wyłącznie z kanałów używanych przez inne sieci WiFi.;zastosować nazwę identyfikatora sieci SSID o długości min. 16 znaków.;B;;;inf_02
;132;132. Wskaż adres sieci, do której należy host o adresie 172.16.0.123/27;172.16.0.16;172.16.0.96;172.16.0.112;172.16.0.224;B;;;inf_02
;133;133. Ile bitów należy wyodrębnić z części hosta, aby z sieci o adresie IPv4 170.16.0.0/16 wydzielić 24 podsieci?;3 bity;4 bity;5 bitów;6 bitów;C;;;inf_02
;134;134. Programem służącym do wyświetlenia listy aktywnych urządzeń pracujących w sieci LAN jest;Advanced IP Scaner;Ultimate Boot;Ace Utilities;Netstat;A;;;inf_02
;135;135. Wskaż technologię wykorzystywaną do udostępniania Internetu wraz z usługą telewizji kablowej, w której jako medium transmisyjne jest wykorzystywany światłowód oraz kabel koncentryczny.;PLC;HFC;xDSL;GPRS;B;;;inf_02
;136;136. Aby w systemie Windows zmienić port zainstalowanej drukarki, należy wykorzystać funkcję;Menedżer zadań.;Właściwości drukarki.;Preferencje drukowania.;Ostatnia znana dobra konfiguracja.;B;;;inf_02
;137;137. W sieci LAN do zabezpieczenia urządzeń sieciowych przed przepięciami oraz różnicami potencjałów, które mogą wystąpić podczas burzy lub innych wyładowań atmosferycznych, należy wykorzystać;ruter.;przełącznik.;sprzętową zaporę sieciową.;urządzenie typu NetProtector.;D;;;inf_02
;138;138. Do sprawdzenia indeksu stabilności systemu Windows Server należy wykorzystać narzędzie;Monitor niezawodności.;Dziennik zdarzeń.;Menedżer zadań.;Zasady grupy.;A;;;inf_02
;139;139. Wskaż nazwę usługi przełącznika, która umożliwi ustawienie wyższego priorytetu dla transmisji VoIP.;SNMP;VNC;QoS;STP;C;;;inf_02
;140;140. Połączenie VPN obsługiwane przez system Windows Server, w którym uwierzytelnienie użytkowników następuje przez niezabezpieczone połączenia, a dopiero po wymianie uwierzytelnień rozpoczyna się szyfrowanie połączenia, to;SSTP;PPTP;L2TP;IPSEC;B;;;inf_02
;141;141. Do sprawdzenia prawidłowych przebiegów i wartości napięć układu urządzenia elektronicznego można użyć;watomierza.;testera płyt głównych.;oscyloskopu cyfrowego.;miernika uniwersalnego.;C;;;inf_02
;142;142. Użycie polecenia tar –xf dane.tar w systemie Linux spowoduje;skopiowanie pliku dane.tar do katalogu /home;wyświetlenie informacji o zawartości pliku dane.tar;wyodrębnienie danych z archiwum o nazwie dane.tar;utworzenie archiwum dane.tar zawierające kopię katalogu /home;C;;;inf_02
;143;143. Komunikat tekstowy BIOS POST firmy Award o treści „Display switch is set incorrectly” wskazuje na;usterkę pamięci operacyjnej.;brak urządzenia rozruchowego.;błąd inicjalizacji dysku twardego.;nieprawidłowy tryb wyświetlania obrazu.;D;;;inf_02
;144;144. Do wykonania monitoringu stanu dysków twardych w serwerach, komputerach stacjonarnych i laptopach można wykorzystać program;Super Pi;Packet Tracer;Acronis Drive Monitor;PRTG Network Monitor;C;;;inf_02
;145;145. Serwisant dojechał do klienta oddalonego od siedziby firmy o 11 km oraz wykonał u niego czynności naprawcze zawarte w tabeli. Wskaż całkowity koszt brutto jego pracy, jeśli dojazd do klienta kosztuje 1,20 zł/km brutto i jest on liczony w obie strony. Stawka podatku VAT na usługi wynosi 23%.;153,20 zł;166,40 zł;195,40 zł;198,60 zł;D;images/145.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/145.jpg;inf_02
;146;146. Aby ikony widoczne na przedstawionym obrazie pojawiły się na Pasku zadań, należy w systemie Windows skonfigurować;funkcję Snap i Peek.;funkcję Pokaż pulpit.;obszar powiadomień.;obszar Action Center.;C;images/146.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/146.jpg;inf_02
;147;147. Po analizie zamieszczonych wyników konfiguracji kart sieciowych zainstalowanych na komputerze można stwierdzić, że;karta bezprzewodowa ma nazwę Net11;wszystkie karty mogą uzyskać adres IP automatycznie.;karta przewodowa ma adres MAC 8C-70-5A-F3-75-BC;interfejs Bluetooth ma przydzielony adres IPv4 192.168.0.102;B;images/147.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/147.jpg;inf_02
;148;148. W systemie Windows przeprowadzenie analizy wpływu uruchamianych programów na wydajność komputera jest między innymi możliwe po użyciu polecenia;dfrgui.exe;iscsicpl.exe;perfmon.msc;taskschd.msc;C;;;inf_02
;149;149. W systemie Linux polecenie cd ~ służy do;utworzenia katalogu /~.;przejścia do katalogu głównego.;wyszukania znaku ~ w zapisanych danych.;przejścia do katalogu domowego użytkownika.;D;;;inf_02
;150;150. W systemie Windows Server udostępnienie folderu jako zasobu sieciowego, widocznego na stacji roboczej w postaci dysku oznaczonego literą, jest możliwe dzięki wykonaniu operacji;zerowania.;mapowania.;oczyszczania.;defragmentacji.;B;;;inf_02
;151;151. Serwer Samba umożliwia współdzielenie plików i drukarek w sieci za pomocą demona;grep;mkfs;smbd;quota;C;;;inf_02
;152;152. Który z rekordów DNS należy dodać w strefie wyszukiwania do przodu, aby zmapować nazwę domeny DNS na adres IP?;MX lub PTR;A lub AAAA;SRV lub TXT;NS lub CNAME;B;;;inf_02
;153;153. Polecenie net accounts zastosowane w Wierszu poleceń systemu Windows, powodujące ustawienie maksymalnej liczby dni ważności hasła, wymaga użycia opcji;/TIMES;/EXPIRES;/MAXPWAGE;/FORCELOGOFF;C;;;inf_02
;154;154. W systemie Windows Server narzędziem umożliwiającym zarządzanie zasadami grupy jest;Panel sterowania.;Menedżer zadań.;Konsola GPMC.;Serwer DNS.;C;;;inf_02
;155;155. Narzędziem umożliwiającym zdalną kontrolę użytkownika sieci lokalnej poprzez śledzenie jego działań lub przejęcie całkowitej kontroli nad zdalną maszyną jest program;RealVNC;Nslookup;Recuva;CPU-Z;A;;;inf_02
;156;156. Na komputerze z zainstalowanymi dwoma systemami – Windows i Linux, po wykonaniu reinstalacji systemu Windows nie uruchamia się drugi system. Aby przywrócić możliwość uruchamiania się systemu Linux oraz aby nie stracić danych i ustawień w nim zapisanych, należy;wykonać reinstalację systemu Linux.;ponownie zainstalować bootloadera GRUB.;wykonać kolejny raz instalację systemu Windows.;przeprowadzić skanowanie dysku programem antywirusowym.;B;;;inf_02
;157;157. Zamieszczony komunikat widoczny po uruchomieniu narzędzia do naprawy systemu Windows może świadczyć o;uszkodzeniu sterowników.;wykryciu nieprawidłowej adresacji IP.;uszkodzeniu plików startowych systemu.;konieczności wykonania kopii zapasowej systemu.;C;images/157.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/157.jpg;inf_02
;158;158. Symbolem literowym P oznacza się;moc.;rezystancję.;częstotliwość.;indukcyjność.;A;;;inf_02
;159;159. Wskaż poprawny zapis liczby -12 10 metodą znak-moduł do postaci ośmiobitowej liczby dwójkowej.;10001100 zm;00001100 zm;+1.11000 zm;–1.11000 zm;A;;;inf_02
;160;160. Elementem elektronicznym zdolnym do gromadzenia ładunku elektrycznego jest;dioda.;rezystor.;tranzystor.;kondensator.;D;;;inf_02
;161;161. Elementem odpowiedzialnym za wymianę danych między procesorem a magistralą PCI-E jest;chipset.;pamięć RAM.;cache procesora.;układ Super I/O.;A;;;inf_02
;162;162. Przedstawiony symbol, stosowany w dokumentacji technicznej, oznacza;wymóg selektywnej zbiórki sprzętu elektronicznego.;konieczność utylizacji wszystkich elementów elektrycznych.;brak możliwości składowania odpadów aluminiowych oraz innych tworzyw metalicznych.;zielony punkt upoważniający do wniesienia opłaty pieniężnej na rzecz organizacji odzysku opakowań.;A;images/162.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/162.jpg;inf_02
;163;163. Moc zasilacza wynosi 450 W, czyli;0,045 hW;0,45 kW;4,5 MW;45 GW;B;;;inf_02
;164;164. Aby złożyć komputer z podzespołów, wykorzystując obudowę SFF, należy wybrać płytę główną w standardzie;BTX;WTX;E-ATX;mini ITX;D;;;inf_02
;165;165. Aby zwiększyć wydajność procesora rodziny Intel poprzez jego „podkręcenie” (ang. overclocking) można zastosować procesor oznaczony;literą B;literą K;literą U;literą Y;B;;;inf_02
;166;166. Do usuwania plików lub katalogów w systemie Linux służy polecenie;cat;tar;rm;ls;C;;;inf_02
;167;167. Aby włączyć lub wyłączyć usługi w zainstalowanym systemie operacyjnym Windows, można posłużyć się przystawką;dcpol.msc;dfsgui.msc;lusrmgr.msc;services.msc;D;;;inf_02
;168;168. Na którym rysunku przedstawiono topologię sieci typu magistrala?;A;B;C;D;B;images/168.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/168.jpg;inf_02
;169;169. Technika przekazywania żetonu (ang. token) jest stosowana w topologii;kraty.;gwiazdy.;magistrali.;pierścienia.;D;;;inf_02
;170;170. Która pula adresów umożliwia komunikację typu multicast w sieci wykorzystującej adresację IPv6?;::/96;ff00::/8;3ffe::/16;2002::/24;B;;;inf_02
;171;171. Dana jest sieć o adresie 192.168.100.0/24. Ile podsieci można z niej wydzielić, stosując maskę 255.255.255.224?;4 podsieci.;6 podsieci.;8 podsieci.;12 podsieci.;C;;;inf_02
;172;172. Która technologia umożliwia dostęp do Internetu oraz odbiór cyfrowych kanałów telewizyjnych?;QoS;VPN;CLIP;ADSL2+;D;;;inf_02
;173;173. Wewnętrzny protokół trasowania, oparty na analizie stanu łącza, to;RIP;EGP;BGP;OSPF;D;;;inf_02
;174;174. Aby w sieci komputerowej była możliwa praca w wydzielonych logicznie mniejszych podsieciach, należy skonfigurować w przełączniku;WLAN;VLAN;WAN;VPN;B;;;inf_02
;175;175. Który materiał eksploatacyjny nie jest wykorzystywany w ploterach?;Tusz.;Pisak.;Filament.;Atrament.;C;;;inf_02
;176;176. Aby w systemie Windows wyczyścić bufor nazw domenowych, należy zastosować polecenie;ipconfig /renew;ipconfig /release;ipconfig /flushdns;ipconfig /setclassid;C;;;inf_02
;177;177. Poleceniem służącym do wyświetlania i modyfikacji tabel translacji adresów IP na adresy fizyczne jest;EXPAND;PATH;MMC;ARP;D;;;inf_02
;178;178. Który program nie umożliwia testowania sieci komputerowej w celu identyfikacji usterek?;traceroute;nslookup;getfacl;ping;C;;;inf_02
;179;179. Wskaż efekt działania przedstawionego polecenia.;Otwarcie portu 53 dla protokołu TCP.;Usunięcie z zapory sieciowej reguły o nazwie Open.;Import ustawienia zapory sieciowej z katalogu in action.;Blokowanie działania usługi DNS opartej na w protokole TCP.;D;images/179.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/179.jpg;inf_02
;180;180. Które z poleceń systemu Linux nie umożliwia przeprowadzenia diagnostyki sprzętu komputerowego?;ls;top;fsck;lspci;A;;;inf_02
;181;181. W systemie Windows parametry karty graficznej można sprawdzić za pomocą polecenia;color;dxdiag;graphics;cliconfg;B;;;inf_02
;182;182. Które narzędzie w systemie Linux wyświetla zapisane w BIOS informacje o sprzęcie?;cron;watch;debug;dmidecode;D;;;inf_02
;183;183. Istniejące konto użytkownika jest modyfikowane poleceniem net user. Aby wymusić zmianę hasła po ponownym zalogowaniu użytkownika, należy dodać do polecenia parametr;passwordreq;passwordchg;expirespassword;logonpasswordchg;D;;;inf_02
;184;184. Przedstawione polecenie zostało wydane przez Administratora systemu operacyjnego podczas ręcznej konfiguracji interfejsu sieciowego. Efektem działania tego polecenia jest;włączenie dynamicznego przypisywania adresów IP.;ustawienie adresu 151.10.0.1 jako bramy domyślnej.;ustawienie 24 bitowej maski.;wyłączenie interfejsu.;B;images/184.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/184.jpg;inf_02
;185;185. Aby ustawić routing statyczny do sieci 192.168.10.0, należy wydać polecenie;route ADD 192.168.10.0 MASK 255.255.255.0 192.168.10.1 5;route 192.168.10.1 MASK 255.255.255.0 192.168.10.0 5 ADD;static route 92.168.10.1 MASK 255.255.255.0 192.168.10.0 5;static 192.168.10.0 MASK 255.255.255.0 192.168.10.1 5 route;A;;;inf_02
;186;186. Aktualizację systemu Windows umożliwia polecenie;wuauclt;winmine;verifier;vssadmin;A;;;inf_02
;187;187. W systemie Linux polecenie tty umożliwia;wyświetlenie nazwy terminala.;wysłanie sygnału zakończenia procesu.;zmianę bieżącego katalogu na katalog domowy użytkownika;uruchomienie programu listującego zawartość pamięci operacyjnej.;A;;;inf_02
;188;188. Aby w systemie Linux zmapować katalog udostępniony w sieci komputerowej, należy posłużyć się poleceniem;join;view;mount;connect;C;;;inf_02
;189;189. W systemie Linux, aby zmienić nowo tworzonym użytkownikom domyślny katalog domowy na katalog / users / home / new, należy użyć polecenia;useradd -D -b / users / home / new;useradd / users / home / new -D -f;/ users / home / new -n -D useradd;/ users / home / new useradd -s -D;A;;;inf_02
;190;190. Protokołem funkcjonującym w warstwie aplikacji modelu TCP/IP jest;FTP;ARP;UDP;SPX;A;;;inf_02
;191;191. Działający w systemie Linux program iftop służy do;monitorowania połączeń sieciowych.;konfigurowania ustawień interfejsu graficznego.;wyświetlania chwilowej prędkości zapisu do pamięci operacyjnej.;wyłączania procesu zużywającego najwięcej mocy obliczeniowej procesora.;A;;;inf_02
;192;192. Wskaż rysunek przedstawiający symbol bramki logicznej NOT.;A;B;C;D;C;images/192.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/192.jpg;inf_02
;193;193. Obraz przedstawia oznaczenie sygnalizacji świetlnej w dokumentacji technicznej laptopa. Wskaż numer oznaczający kontrolkę zapalającą się podczas ładowania baterii.;2;3;4;5;C;images/193.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/193.jpg;inf_02
;194;194. Wskaż poprawną kolejność czynności prowadzących do zamontowania procesora w gnieździe LGA na nowej płycie głównej, odłączonej od źródła zasilania.;5, 2, 3, 4, 1, 6, 7;5, 6, 1, 7, 2, 3, 4;5, 7, 6, 1, 4, 3, 2;5, 1, 7, 3, 6, 2, 4;D;images/194.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/194.jpg;inf_02
;195;195. W trybie graficznym systemów Ubuntu lub SuSE Linux, do zainstalowania aktualizacji oprogramowania systemu można użyć programów;Shutter lub J-Pilot;Pocket lub Dolphin;Synaptic lub YaST;Chromium lub XyGrib;C;;;inf_02
;196;196. Do wykonania nienadzorowanej instalacji w systemie Windows należy przygotować plik odpowiedzi o nazwie;modprobe.conf;unattend.txt;pagefile.sys;boot.ini;B;;;inf_02
;197;197. Po zainstalowaniu systemu Linux użytkownik chce przeprowadzić konfigurację karty sieciowej poprzez wpisanie ustawień konfiguracyjnych sieci. Jest to możliwe przez edycję pliku;/ etc / profile;/ etc / shadow;/ etc /network / interfaces;/ etc / resolv.configuration;C;;;inf_02
;198;198. Licencja programu komputerowego rozpowszechnianego za darmo z ograniczoną przez producenta funkcjonalnością w stosunku do pełnej, płatnej wersji, gdzie po okresie 30 dni pojawiają się reklamy oraz przypomnienia o konieczności zarejestrowania się, nosi nazwę;OEM;adware;liteware;GNU-GPL;C;;;inf_02
;199;199. Cechy której topologii fizycznej sieci zostały opisane w ramce?;Rozgłaszania.;Magistrali.;Gwiazdy.;Siatki.;B;images/199.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/199.jpg;inf_02
;200;200. Widoczny na schemacie symbol okablowania oznacza kabel;szeregowy;światłowodowy;ethernetowy prosty.;ethernetowy krosowany.;D;images/200.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/200.jpg;inf_02
;201;201. Zastosowanie skrętki kategorii 6 (CAT 6) o długości 20 metrów w sieci LAN wskazuje na jej maksymalną przepustowość równą;10 Gb/s;10 Mb/s;100 Gb/s;100 Mb/s;A;;;inf_02
;202;202. Wskaż protokół warstwy aplikacji służący do odbierania poczty elektronicznej, który w pierwszej fazie pobiera nagłówki wiadomości, a pobranie ich treści oraz załączników następuje dopiero po otwarciu maila.;IMAP;SNMP;MIME;FTAM;A;;;inf_02
;203;203. Do podłączenia (zaszycia) kabla w module Keystone należy wykorzystać;praskę ręczną.;bit imbusowy.;wkrętak typu Torx.;narzędzie uderzeniowe.;D;;;inf_02
;204;204. Adresem rozgłoszeniowym w podsieci o adresie IPv4 192.168.160.0/21 jest;192.168.7.255;192.168.160.254;192.168.167.255;192.168.255.254;C;;;inf_02
;205;205. W adresacji IPv6 zastosowanie podwójnego dwukropka jest wykorzystywane do;jednorazowego zastąpienia jednego bloku jedynek.;wielokrotnego zastąpienia dowolnych bloków jedynek.;wielokrotnego zastąpienia dowolnych bloków zer odseparowanych blokiem jedynek.;jednorazowego zastąpienia jednego lub kolejno ułożonych po sobie bloków złożonych wyłącznie z zer.;D;;;inf_02
;206;206. Co należy wpisać w miejscu kropek, aby w systemie Linux zwiększyć domyślny odstęp czasowy między kolejnymi transmisjami pakietów przy użyciu polecenia ping?;-i 3;-c 9;-a 81;-s 75;A;images/206.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/206.jpg;inf_02
;207;207. Drukarką przeznaczoną do druku etykiet i kodów kreskowych, która drukuje poprzez roztapianie pokrycia specjalnej taśmy, w wyniku czego barwnik z niej zostaje przyklejony do materiału, na którym następuje drukowanie jest drukarka;igłowa;laserowa;atramentowa;termotransferowa;D;;;inf_02
;208;208. Aby podłączyć do komputera drukarkę igłową o przedstawionych parametrach, należy kabel dołączony do drukarki zamocować w porcie;USB;Ethernet;FireWire;Centronics;D;images/208.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/208.jpg;inf_02
;209;209. W systemie Windows Professional do konfiguracji czasu dostępności drukarki należy wykorzystać zakładkę;Zaawansowane we Właściwościach drukarki.;Zabezpieczenia we Właściwościach drukarki.;Konfiguracja w Preferencjach drukowania.;Ustawienia w Preferencjach drukowania.;A;;;inf_02
;210;210. Podstawową czynnością eksploatacyjną drukarki igłowej jest wymiana pojemnika;z atramentem;z tonerem;z fluidem;z taśmą;D;;;inf_02
;211;211. W systemie Linux do monitorowania pracy sieci, urządzeń sieciowych oraz serwerów można wykorzystać program;Nagios;Brasero;Dolphin;Shotwell;A;;;inf_02
;212;212. Która z czynności jest możliwa do wykonania podczas konfiguracji przełącznika CISCO w interfejsie CLI, bez przechodzenia w tryb uprzywilejowany, na poziomie dostępu widocznym w ramce?;Zmiana nazwy systemowej.;Wyświetlenie tablicy ARP.;Określanie haseł dostępu.;Tworzenie sieci VLAN;B;images/212.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/212.jpg;inf_02
;213;213. Aby ukryć identyfikator sieci bezprzewodowej, należy w ruterze zmienić jego konfigurację w polu oznaczonym numerem;1;2;3;4;B;images/213.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/213.jpg;inf_02
;214;214. Konfiguracja rutingu statycznego na ruterze polega na;zdefiniowaniu adresu IP serwera DNS przekazywanego przez serwer DHCP.;przesyłaniu kopii danych z wybranych portów rutera na wskazany port docelowy.;przesyłaniu kopii danych z wybranych portów rutera na wskazany port docelowy.;wskazaniu adresu sieci docelowej wraz z jej maską oraz podaniu adresu lub interfejsu do przesłania danych do zadanej sieci.;D;;;inf_02
;215;215. Wskaż zestaw służący do diagnostyki logicznych układów elektronicznych znajdujących się na płycie głównej komputera, który nie reaguje na próby włączenia zasilania.;A;B;C;D;A;images/215.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/215.jpg;inf_02
;216;216. Do naprawy zasilacza laptopa polegającej na wymianie kondensatorów należy zastosować;chwytak próżniowy.;tester płyt głównych.;lutownicę z cyną i kalafonią.;tester okablowania sieciowego.;C;;;inf_02
;217;217. Aby wyodrębnić dane zawarte w archiwum o nazwie dane.tar, użytkownik pracujący w systemie Linux powinien użyć polecenia;gzip –r dane.tar;tar –cvf dane.tar;tar –xvf dane.tar;gunzip –r dane.tar;C;;;inf_02
;218;218. Na wydrukach drukarki laserowej można zaobserwować podłużne pasma oraz powtarzające się artefakty. Możliwą przyczyną złej jakości wydruku jest usterka;taśmy barwiącej.;układu zliczającego.;głowicy drukującej.;bębna światłoczułego.;D;;;inf_02
;219;219. Przedstawiony wynik działania polecenia systemu Linux służy do diagnostyki;karty graficznej.;dysku twardego;karty sieciowe;pamięci RAM.;B;images/219.jpg;https://www.praktycznyegzamin.pl/ee08/teoria/wszystko/ee08/219.jpg;inf_02
